"feature id","feature label","shid","geoid","Commute Transportation by Motorcycle (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Monthly Electric Cost Less Than $50 (2020-2024)","Monthly Electric Cost $50 to $99 (2020-2024)","Monthly Electric Cost $100 to $149 (2020-2024)","Monthly Electric Cost $150 to $199 (2020-2024)","Monthly Electric Cost $200 to $249 (2020-2024)","Monthly Electric Cost $250 or More (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","0","0","34","263","13","374","77","68","812","120","762","282","174","95","62"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","0","48","59","693","86","85","15","406","3448","273","1144","1255","676","439","683"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","116","35","130","3132","225","295","215","996","11153","474","1654","2566","3349","2425","3296"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","0","125","48","1148","201","61","374","1031","4220","71","1033","1002","1298","1151","2196"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","76","128","250","3405","275","295","73","1831","12689","355","2775","3416","2879","2161","3980"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","11","24","20","1419","209","189","541","1521","9079","155","1106","1312","2141","2793","5190"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","0","30","34","769","266","252","919","1416","7694","368","1173","2607","3047","2662","4186"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","77","114","172","3802","1052","121","405","2868","23428","406","3527","4094","4794","5230","8410"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","87","78","113","2128","256","81","237","1830","11752","138","1997","2787","2662","2130","3921"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","0","0","8","0","0","482","0","97","935","0","7","0","8","0","6"
