"Label (Grouping)","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Florida!!Male!!Estimate","Florida!!Male!!Margin of Error","Florida!!Percent Male!!Estimate","Florida!!Percent Male!!Margin of Error","Florida!!Female!!Estimate","Florida!!Female!!Margin of Error","Florida!!Percent Female!!Estimate","Florida!!Percent Female!!Margin of Error","Clay County, Florida!!Total!!Estimate","Clay County, Florida!!Total!!Margin of Error","Clay County, Florida!!Percent!!Estimate","Clay County, Florida!!Percent!!Margin of Error","Clay County, Florida!!Male!!Estimate","Clay County, Florida!!Male!!Margin of Error","Clay County, Florida!!Percent Male!!Estimate","Clay County, Florida!!Percent Male!!Margin of Error","Clay County, Florida!!Female!!Estimate","Clay County, Florida!!Female!!Margin of Error","Clay County, Florida!!Percent Female!!Estimate","Clay County, Florida!!Percent Female!!Margin of Error","Duval County, Florida!!Total!!Estimate","Duval County, Florida!!Total!!Margin of Error","Duval County, Florida!!Percent!!Estimate","Duval County, Florida!!Percent!!Margin of Error","Duval County, Florida!!Male!!Estimate","Duval County, Florida!!Male!!Margin of Error","Duval County, Florida!!Percent Male!!Estimate","Duval County, Florida!!Percent Male!!Margin of Error","Duval County, Florida!!Female!!Estimate","Duval County, Florida!!Female!!Margin of Error","Duval County, Florida!!Percent Female!!Estimate","Duval County, Florida!!Percent Female!!Margin of Error","Nassau County, Florida!!Total!!Estimate","Nassau County, Florida!!Total!!Margin of Error","Nassau County, Florida!!Percent!!Estimate","Nassau County, Florida!!Percent!!Margin of Error","Nassau County, Florida!!Male!!Estimate","Nassau County, Florida!!Male!!Margin of Error","Nassau County, Florida!!Percent Male!!Estimate","Nassau County, Florida!!Percent Male!!Margin of Error","Nassau County, Florida!!Female!!Estimate","Nassau County, Florida!!Female!!Margin of Error","Nassau County, Florida!!Percent Female!!Estimate","Nassau County, Florida!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","1,906,324","±8,750","(X)","(X)","973,133","±5,506","(X)","(X)","933,191","±6,295","(X)","(X)","18,389","±1,387","(X)","(X)","9,936","±980","(X)","(X)","8,453","±876","(X)","(X)","91,872","±404","(X)","(X)","46,480","±211","(X)","(X)","45,392","±355","(X)","(X)","5,890","±752","(X)","(X)","2,773","±130","(X)","(X)","3,117","±710","(X)","(X)"
"        Less than high school graduate","253,196","±10,697","13.3%","±0.6","148,353","±7,635","15.2%","±0.8","104,843","±6,443","11.2%","±0.7","2,228","±789","12.1%","±4.4","1,739","±748","17.5%","±7.7","489","±359","5.8%","±4.3","12,944","±2,402","14.1%","±2.6","6,980","±1,913","15.0%","±4.1","5,964","±1,475","13.1%","±3.2","725","±309","12.3%","±5.3","251","±201","9.1%","±7.2","474","±300","15.2%","±11.4"
"        High school graduate (includes equivalency)","692,535","±14,530","36.3%","±0.7","386,373","±10,722","39.7%","±1.1","306,162","±10,390","32.8%","±1.0","5,984","±1,495","32.5%","±7.5","4,079","±1,423","41.1%","±12.9","1,905","±706","22.5%","±7.8","38,236","±3,647","41.6%","±4.0","22,225","±2,699","47.8%","±5.8","16,011","±2,562","35.3%","±5.6","1,883","±712","32.0%","±13.3","1,013","±521","36.5%","±18.7","870","±481","27.9%","±17.5"
"        Some college or associate's degree","711,471","±14,274","37.3%","±0.7","334,343","±9,949","34.4%","±1.0","377,128","±9,621","40.4%","±1.0","7,914","±1,829","43.0%","±9.1","3,766","±1,312","37.9%","±13.0","4,148","±1,337","49.1%","±14.6","27,859","±3,557","30.3%","±3.9","12,721","±2,110","27.4%","±4.5","15,138","±2,593","33.3%","±5.8","2,743","±1,105","46.6%","±14.6","970","±553","35.0%","±19.8","1,773","±972","56.9%","±21.0"
"        Bachelor's degree or higher","249,122","±11,205","13.1%","±0.6","104,064","±7,863","10.7%","±0.8","145,058","±7,250","15.5%","±0.8","2,263","±953","12.3%","±5.2","352","±227","3.5%","±2.3","1,911","±927","22.6%","±11.0","12,833","±2,213","14.0%","±2.4","4,554","±1,422","9.8%","±3.1","8,279","±1,752","18.2%","±3.8","539","±458","9.2%","±8.0","539","±458","19.4%","±16.6","0","±247","0.0%","±7.8"
"    Population 25 years and over","16,973,955","±8,398","(X)","(X)","8,218,211","±6,824","(X)","(X)","8,755,744","±6,663","(X)","(X)","165,291","±1,386","(X)","(X)","79,403","±943","(X)","(X)","85,888","±890","(X)","(X)","730,444","±413","(X)","(X)","346,005","±388","(X)","(X)","384,439","±258","(X)","(X)","78,614","±888","(X)","(X)","38,949","±1,146","(X)","(X)","39,665","±1,028","(X)","(X)"
"        Less than 9th grade","702,628","±20,583","4.1%","±0.1","364,182","±14,174","4.4%","±0.2","338,446","±12,313","3.9%","±0.1","5,430","±1,740","3.3%","±1.0","2,801","±1,274","3.5%","±1.6","2,629","±994","3.1%","±1.2","23,833","±3,834","3.3%","±0.5","11,163","±2,779","3.2%","±0.8","12,670","±2,121","3.3%","±0.6","1,725","±758","2.2%","±1.0","1,142","±713","2.9%","±1.8","583","±317","1.5%","±0.8"
"        9th to 12th grade, no diploma","933,850","±20,163","5.5%","±0.1","509,672","±14,334","6.2%","±0.2","424,178","±13,350","4.8%","±0.2","7,464","±1,381","4.5%","±0.8","4,348","±1,311","5.5%","±1.7","3,116","±881","3.6%","±1.0","44,141","±4,599","6.0%","±0.6","22,230","±3,134","6.4%","±0.9","21,911","±3,124","5.7%","±0.8","3,543","±1,297","4.5%","±1.7","2,329","±1,114","6.0%","±2.8","1,214","±697","3.1%","±1.7"
"        High school graduate (includes equivalency)","4,489,041","±38,891","26.4%","±0.2","2,274,100","±26,004","27.7%","±0.3","2,214,941","±24,142","25.3%","±0.3","50,247","±4,400","30.4%","±2.7","25,950","±2,750","32.7%","±3.5","24,297","±2,730","28.3%","±3.1","201,554","±9,008","27.6%","±1.2","104,671","±6,023","30.3%","±1.7","96,883","±6,225","25.2%","±1.6","23,463","±2,012","29.8%","±2.5","10,950","±1,315","28.1%","±3.4","12,513","±1,648","31.5%","±4.0"
