zip,pct_uninsured,median_income,pct_smoking,pct_obesity,pct_inactive,svi_score,food_desert_pop,pct_park_area,Life Expectancy at Birth (2010-2015)
32202,27.4,34825.0,31.8,47.5,45.4,0.9311,1325.0,3.13,73.0944
32204,14.7,65063.0,15.3,35.0,29.4,0.6444,3870.0,1.68,75.5328
32205,12.7,64789.0,14.5,33.7,25.4,0.5961,20006.0,2.02,74.2022
32206,18.9,39242.0,24.0,46.3,40.9,0.9496,12868.0,2.9,70.7455
32207,14.7,65234.0,14.1,33.3,27.1,0.7708,23591.0,1.77,76.0689
32208,17.4,41324.0,21.5,45.7,40.7,0.8952,24616.0,3.4,70.8223
32209,19.5,30514.0,23.3,48.0,44.0,0.9424,19874.0,1.99,68.6554
32210,15.8,61050.0,17.2,37.4,31.4,0.8428,43359.0,2.26,74.939
32211,18.0,57021.0,18.2,38.6,32.9,0.8859,20619.0,2.09,75.2916
32212,16.3,51422.0,11.8,28.6,22.5,0.0966,1670.0,0.0,77.2
32216,14.9,61821.0,13.7,33.0,27.1,0.7934,25614.0,2.94,77.231
32217,13.0,73832.0,11.6,31.6,24.7,0.6506,14944.0,1.66,77.8158
32223,10.1,95347.0,11.6,30.2,22.4,0.1254,16732.0,0.83,80.6864
32254,20.1,34953.0,24.4,44.3,40.5,0.9322,11441.0,1.5,70.6256
32256,10.5,73570.0,9.5,28.6,20.8,0.3412,25764.0,4.49,79.4843
32257,12.1,75780.0,12.6,31.3,24.4,0.555,20338.0,2.5,78.4784
32258,10.0,102204.0,10.8,29.5,21.0,0.2621,16749.0,20.38,80.1813
32266,7.1,119294.0,9.0,27.6,16.9,0.0206,4622.0,0.73,82.95
32277,15.1,61554.0,15.2,36.2,29.4,0.8818,17879.0,4.89,76.836
32218,13.8,69638.0,15.8,38.0,29.4,0.702,36295.0,10.69,74.6282
32219,13.4,72184.0,16.3,38.4,30.4,0.6598,6155.0,14.91,74.2827
32220,13.8,81792.0,17.9,35.2,29.4,0.4018,7631.0,30.74,73.1829
32221,12.7,82969.0,14.5,34.3,27.1,0.5437,23248.0,16.91,77.5441
32222,13.9,85649.0,15.3,36.2,28.3,0.3546,8066.0,4.58,78.2837
32224,10.5,88259.0,10.1,28.5,20.6,0.4882,25981.0,12.13,80.8585
32225,10.7,90559.0,11.5,30.7,22.4,0.2569,33051.0,12.71,79.0993
32226,10.4,110179.0,12.5,31.9,22.6,0.1213,10076.0,61.51,76.391
32227,16.7,85833.0,10.9,27.7,20.2,0.2672,2015.0,10.57,72.7
32233,11.9,89185.0,12.8,31.1,23.8,0.3957,20299.0,15.02,77.0403
32234,12.6,87331.0,16.7,34.9,28.1,0.2395,238.0,19.72,74.7477
32244,15.2,62204.0,15.7,36.4,29.7,0.7718,45062.0,9.88,75.597
32246,13.1,80963.0,12.8,31.4,24.8,0.4286,37746.0,2.25,77.1512
32250,9.3,117724.0,10.0,28.9,19.3,0.2138,14042.0,1.26,78.9891
12031,13.6,71277.0,13.9,34.3,27.1,0.697,596018.0,4.91,76.4073
